Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
2019-07-02T00:00:00,3,1,microsoft-my.sharepoint.com,General Business,2
2019-07-02T00:00:00,3,1,msazure.visualstudio.com,Project Management,2
2019-07-02T00:00:00,3,1,openwith,General Utilities,1
2019-07-02T00:00:00,3,1,Command Prompt,Systems Operations,2
2019-07-02T00:00:00,3,1,docker.com,General Software Development,2
2019-07-02T00:00:00,3,1,support.office.com,Engineering & Technology,2
2019-07-02T00:00:00,3,1,play.golang.org,General Software Development,2
2019-07-02T00:00:00,2,1,myaccounts.capitalone.com,Accounting,2
2019-07-02T00:00:00,2,1,blog.sapiensworks.com,General Reference & Learning,2
2019-07-02T00:00:00,2,1,sharepoint,General Communication & Scheduling,2
2019-07-02T00:00:00,2,1,raw.githubusercontent.com,General Software Development,2
2019-07-02T00:00:00,1,1,acrobat reader,General Utilities,1
2019-07-02T00:00:00,1,1,onedrive,File Sharing,-2
2019-07-02T00:00:00,1,1,globalprotect,Uncategorized,0
